LASTUPDATEDATE,BUILDINGNAMEID,BUILDINGID
2023/09/03 00:00:00,"1101368369","1100006091"
2023/09/03 00:00:00,"1101368641","1100010483"
2023/09/03 00:00:00,"1101368413","1100006768"
2023/09/03 00:00:00,"1101367079","1100004881"
2023/09/03 00:00:00,"1101366711","1100012139"
2023/09/03 00:00:00,"1101366853","1100010635"
2023/09/03 00:00:00,"1101366717","1100003974"
2023/09/03 00:00:00,"1101366280","1100008733"
2023/09/03 00:00:00,"1101366104","1100012030"
2023/09/03 00:00:00,"1101367404","1100003571"
2023/09/03 00:00:00,"1101368231","1100006166"
2023/09/03 00:00:00,"1101366851","1100009145"
2023/09/03 00:00:00,"1101367001","1100003483"
2023/09/03 00:00:00,"1101368445","1100004710"
2023/09/03 00:00:00,"1101366933","1100010380"
